"Season","Artist","Plays"
"Summer","Reka Ioescu",9
"Summer","Roger Reuse",9
"Summer","SHAED",9
"Summer","Sech",9
"Summer","Shakira",9
"Summer","Slow Magic",9
"Summer","Strange Imagining",9
"Summer","T-Pain",9
"Summer","TOTO",9
"Summer","Timeflies",9
"Summer","Tinlicker",9
"Summer","Trevor Daniel",9
"Summer","Tyler, The Creator",9
"Summer","Wolfgang Snow",9
"Summer","Yonatan Awate",9
"Summer","Young Thug",9
"Summer","cloudcrush",9
"Winter","AGM",9
"Winter","Alok",9
"Winter","Altair Blake",9
"Winter","Amit Trivedi",9
"Winter","Anuel AA",9
"Winter","Arijit Singh",9
"Winter","Arush Mandal",9
"Winter","Atomic Kitten",9
"Winter","Bad Bunny",9
"Winter","Blewbird",9
"Winter","Calm Shores",9
"Winter","Chantel Jeffries",9
"Winter","Charmaine D'Avis",9
"Winter","Cuco",9
"Winter","Dathan",9
"Winter","Elskavon",9
"Winter","Evelyn Stein",9
"Winter","Farruko",9
"Winter","Five For Fighting",9
"Winter","GAMPER & DADONI",9
"Winter","George Frideric Handel",9
"Winter","Glenn Travis",9
"Winter","Goldmund",9
"Winter","Grace VanderWaal",9
"Winter","Gretta Ray",9
"Winter","Grits",9
"Winter","Harold Budd",9
"Winter","Hoodie Allen",9
"Winter","Hook N Sling",9
"Winter","Irizarry Barraza",9
"Winter","J Lisk",9
"Winter","Jax Jones",9
"Winter","Jeremy Ng",9
"Winter","Jesper Jenset",9
"Winter","Jiao Ch'ien",9
"Winter","Jome",9
"Winter","Joseph Alphane",9
"Winter","Kazy Lambist",9
"Winter","Lucas Estrada",9
"Winter","Lugar",9
"Winter","Masala Roo",9
"Winter","Miley Cyrus",9
"Winter","Oliver Evilo",9
"Winter","Phoebe Ryan",9
"Winter","Piso 21",9
"Winter","Rae Morris",9
"Winter","Rannar Sillard",9
"Winter","Samuel Lindon",9
"Winter","Sleep Lab",9
"Winter","Slow Magic",9
"Winter","Snoh Aalegra",9
"Winter","Sophie Simmons",9
"Winter","TAL",9
"Winter","Tate McRae",9
"Winter","The Deli",9
"Winter","The Lumineers",9
"Winter","The Vamps",9
"Winter","YNW Melly",9
"Winter","Yandel",9
"Winter","Yue Yan Jen",9
"Winter","alayna",9
"Winter","yaeow",9
"Fall","3LAU",8
"Fall","Alida",8
"Fall","Amir Obe",8
"Fall","Andrew Belle",8
"Fall","Angel",8
"Fall","Anitta",8
"Fall","Arin Ray",8
"Fall","BURNS",8
"Fall","Ben Platt",8
"Fall","Big Gigantic",8
"Fall","Biqram",8
"Fall","Blake Rose",8
"Fall","Cali Y El Dandee",8
"Fall","Carlos Vives",8
"Fall","Chris Burton",8
"Fall","Claes Nilsson",8
"Fall","Corey Hommel",8
"Fall","Diplo",8
"Fall","Fakear",8
"Fall","Felix Hertzog",8
"Fall","Gyr",8
"Fall","Harold Budd",8
"Fall","Jenevieve",8
"Fall","Joshua Hyslop",8
"Fall","Joyner Lucas",8
"Fall","Jozef Gatysik",8
"Fall","Koby Laver",8
"Fall","Kudasaibeats",8
"Fall","LLusion",8
"Fall","Leon Nolting",8
"Fall","Levi Stills",8
"Fall","Lil Peep",8
"Fall","Limited Tym",8
"Fall","Lorde",8
"Fall","Luca",8
"Fall","Machine Gun Kelly",8
"Fall","Madan Mohan",8
"Fall","Minik Knudsen",8
"Fall","Modl",8
"Fall","Myles Cameron",8
"Fall","NAV",8
"Fall","Ne-Yo",8
"Fall","Niko Kotoulas",8
"Fall","Paloma Mami",8
"Fall","Passenger",8
"Fall","Piano Tribute Players",8
"Fall","Priya Saraiya",8
"Fall","R. Kelly",8
"Fall","Ran-D",8
"Fall","Robin Schulz",8
"Fall","Saba",8
"Fall","Sara Kays",8
"Fall","Sevyn Streeter",8
"Fall","Sleepy Clouds",8
"Fall","Social House",8
"Fall","Sophie Simmons",8
"Fall","Stormzy",8
"Fall","TENDER",8
"Fall","The Band CAMINO",8
"Fall","The Script",8
"Fall","Thundercat",8
"Fall","Tori Kelly",8
"Fall","Tyga",8
"Fall","Usher",8
"Fall","Vincent Choppah",8
"Fall","Webier",8
"Fall","Wiz Khalifa",8
"Fall","Wolfgang Snow",8
"Fall","j'san",8
"Fall","kelantanze",8
"Fall","mansionz",8
"Fall","musitzun",8
"Spring","8D Tunes",8
"Spring","Addict.",8
"Spring","Alan Ellis",8
"Spring","Anitta",8
"Spring","Ant Saunders",8
"Spring","Arman Cekin",8
"Spring","Billy Eichner",8
"Spring","Boy In Space",8
"Spring","Camilo",8
"Spring","Carly Rae Jepsen",8
"Spring","Cellophane Roses",8
"Spring","Chieloka",8
"Spring","Cuco",8
"Spring","Da?i Freyr",8
"Spring","Daigo Hanada",8
"Spring","Degravitated",8
"Spring","Don Mazuck",8
"Spring","Duncan Laurence",8
"Spring","Elenor Fuchs",8
"Spring","Elton John",8
"Spring","FAIS",8
"Spring","Felix Hertzog",8
"Spring","Fickle Friends",8
"Spring","Floriscope",8
"Spring","Forester",8
"Spring","Gil Talmi",8
"Spring","Gina Livia",8
"Spring","Great Good Fine Ok",8
"Spring","Greeicy",8
"Spring","Hollow Coves",8
"Spring","Isaiah Rashad",8
"Spring","JID",8
"Spring","Jacob Collier",8
"Spring","Jonathan Coffey",8
"Spring","Jordan Beggs",8
"Spring","Jubel",8
"Spring","Juke Ross",8
"Spring","Kane Brown",8
"Spring","Kayou.",8
"Spring","Kiko Bun",8
"Spring","Kudasaibeats",8
"Spring","Louis Armstrong",8
"Spring","Lykke Li",8
"Spring","Maleek Berry",8
"Spring","Mark Ronson",8
"Spring","Martin Jensen",8
"Spring","Melanie Martinez",8
"Spring","Miley Cyrus",8
"Spring","Minnz Piano",8
"Spring","Modl",8
"Spring","Nicholas Sipka",8
"Spring","Night Poets",8
"Spring","Nightcall",8
"Spring","Nora Van Elken",8
"Spring","Novo Talos",8
"Spring","Nuit Pluie",8
"Spring","Of Monsters and Men",8
"Spring","Ollie",8
"Spring","Ouse",8
"Spring","PARTYNEXTDOOR",8
"Spring","Passenger",8
"Spring","Pathos Humano",8
"Spring","Phora",8
"Spring","Poppy Robson",8
"Spring","R. Kelly",8
"Spring","ROSALIA",8
"Spring","Raimu",8
"Spring","Rationale",8
"Spring","Rnla",8
"Spring","Roman Muller",8
"Spring","SYDE",8
"Spring","Sam Fischer",8
"Spring","Shaggy",8
"Spring","Shakira",8
"Spring","Sleep in 8D",8
"Spring","Sleepy Clouds",8
"Spring","Sofia Reyes",8
"Spring","Steve Mokwebe",8
"Spring","Stevie B",8
"Spring","The Band CAMINO",8
"Spring","The Neighbourhood",8
"Spring","The Vamps",8
"Spring","The Wanted",8
"Spring","Timbaland",8
"Spring","Tove Lo",8
"Spring","Usher",8
"Spring","Vaclav Slezak",8
"Spring","Vancouver Sleep Clinic",8
"Spring","Yung Pinch",8
"Spring","nourii",8
"Spring","xerLK",8
