"ID","Year","Song","Plays"
"6CcJMwBtXByIz4zQLzFkKc","2021","Billie Eilish ~ i love you",30
"2QEBXYzURjg7nY8FjbBcUt","2022","Shallou ~ All Your Days",30
"3eZS4TyX2KMvD621AD9MqY","2022","Bruno Major ~ Figment Of My Mind",30
"7zFXmv6vqI4qOt4yGf3jYZ","2022","Daniel Caesar ~ Get You (feat. Kali Uchis)",30
"6TIU9Ehmi6dMzZK73Ym4yj","2018","Ed Sheeran ~ Save Myself",29
"4lAZaMGhx9Di03Vz9tfNzy","2018","The Piano Guys ~ Titanium / Pavane",29
"14JzyD6FlBD5z0wV5P07YI","2018","Billie Eilish ~ when the party's over",29
"05OCY605lOXP7koHNBMPc2","2019","VAX ~ Crime",29
"3HVWdVOQ0ZA45FuZGSfvns","2019","Ed Sheeran ~ I Don't Care (with Justin Bieber)",29
"0tgVpDi06FyKpA1z0VMD4v","2019","Ed Sheeran ~ Perfect",29
"1HNkqx9Ahdgi1Ixy2xkKkL","2019","Ed Sheeran ~ Photograph",29
"6SL7KzIA96f0HiKjuv7tED","2019","Quinn XCII ~ U & Us",29
"4oM9DGUTrRaXJDypxxHztZ","2020","Bryce Vine ~ La La Land (feat. YG)",29
"7jSQaXLzpLHjSQTev2krvT","2020","Thomas Newman ~ Nemo Egg (Main Title)",29
"07ipXN6CNTw34qwSYePKpg","2020","PRETTYMUCH ~ Summer on You",29
"55K9XfgvMdBruc7iKsovgv","2020","Lostboycrow ~ The Lost Boy (feat. Skizzy Mars)",29
"5Z3GHaZ6ec9bsiI5BenrbY","2020","Khalid ~ Young Dumb & Broke",29
"5HsSsEeP3hU9QSfHZrzbtA","2021","Finding Hope ~ 3:00 AM",29
"1FjHxl8B28sXj7eVfxdST4","2021","Michl ~ Better With You",29
"4qkVALwOxCIEZ7I5gkZ3m4","2021","UMI ~ Butterfly",29
"6potEImiklXkwD9qFzpu15","2021","Labrinth ~ Forever",29
"4RVwu0g32PAqgUiJoXsdF8","2021","Billie Eilish ~ Happier Than Ever",29
"3tJjZMHLqhD8DaGgdBICnc","2021","Sleeping At Last ~ Saturn",29
"1iSuktdIdWrdfq0slQ4auO","2022","ODESZA ~ Better Now (feat. MARO)",29
"0W3XXRdUeLUEYul1NMCnTo","2022","Morgan Page ~ Fire & Gold",29
"6potEImiklXkwD9qFzpu15","2022","Labrinth ~ Forever",29
"4nRbhflKt9BAc6YulQ22ga","2022","ILLENIUM ~ In My Mind",29
"0DkkunMQNA2SuOYmnYm88E","2022","Miro ~ Soar",29
"4LyIHEDbAWDeKV0JbVZae9","2022","BETWEEN FRIENDS ~ affection",29
"1LoOsdBQhtjIUiDiMyHxuE","2018","Great Good Fine Ok ~ Find Yourself",28
"0CJvDUBeEL1Rmpx7MH28CQ","2018","James TW ~ For You",28
"5t0DJVXlC9Nr6UhJvrJsCM","2018","Kimberly Anne ~ More Alive - Piano Version",28
"0lYTfzScakP4HhxgG3CR7p","2018","Robyn Sherwell ~ Tightropes",28
"5eQLcYDijgzO4G48T3x0yW","2018","The Piano Guys ~ Waterfall",28
"39N9RPD9MRb5WmoLzNzPeA","2018","Nicky Jam ~ X",28
"75ls0gurX68lUmMjE7QcsE","2018","Jeremy Zucker ~ all the kids are depressed",28
"3v5hNZz5R2eJi3BIKJjPPM","2019","Neutral Commitment ~ A Message from Teen Romance: A Message from Earth to Heaven / Teen Romance",28
"0FknXlaOeXD7Vto1Hx9wtP","2019","Party Favor ~ Caskets",28
"3cR5ZtQ4JqGj4VHBb1gvFf","2019","CNCO ~ Hey DJ - Remix",28
"3kywzyEr7V106Un5cDyh12","2019","Sasha Alex Sloan ~ Older",28
"0lchLc0vSyRRqKSPIkFtJI","2019","Whethan ~ Superlove (feat. Oh Wonder)",28
"34gCuhDGsG4bRPIf9bb02f","2019","Ed Sheeran ~ Thinking out Loud",28
"7arWoSrPeW1uiCGbCu0Igm","2020","Arlette Leduc ~ Euphrosyne",28
"2iUmqdfGZcHIhS3b9E9EWq","2020","Neon Trees ~ Everybody Talks",28
"2hDe0Ls5mVqs1XJqv7sbcM","2020","Anuel AA ~ Futbol & Rumba (feat. Enrique Iglesias)",28
"6KuHjfXHkfnIjdmcIvt9r0","2020","Imagine Dragons ~ On Top Of The World",28
"1Cv1YLb4q0RzL6pybtaMLo","2020","Surfaces ~ Sunday Best",28
"0LmVXhtRyUX96EAs2Idoa1","2020","Jeremy Zucker ~ julia",28
"3cTsh9sZdHHV6Syjcwg8VW","2021","Dekleyn ~ Chasing Dreams",28
"2WWfjbHALIb3e7FMcj9mr4","2021","ODESZA ~ Line Of Sight (feat. WYNNE & Mansionair)",28
"4cQrSREMqBSvJ8ZzBZjVb8","2021","James Blake ~ Mile High (feat. Travis Scott & Metro Boomin)",28
