"MonthYear","Artist","Plays"
"2019-03","Eminem",21
"2019-03","Lil Wayne",21
"2019-03","blackbear",21
"2019-10","Marshmello",21
"2019-12","Jason Derulo",21
"2020-01","Kendrick Lamar",21
"2020-03","Bryson Tiller",21
"2020-06","King Curtis",21
"2020-07","Thin Lizzy",21
"2020-08","Jimi Hendrix",21
"2020-10","Kid Cudi",21
"2020-10","Veorra",21
"2020-11","Frank Ocean",21
"2020-12","A$AP Rocky",21
"2020-12","Queen",21
"2021-01","Giveon",21
"2021-06","Mac Miller",21
"2021-08","Cage The Elephant",21
"2021-10","Drake",21
"2022-03","DJ Khaled",21
"2022-04","Bryson Tiller",21
"2022-06","Tory Lanez",21
"2022-08","Cage The Elephant",21
"2022-10","Drake",21
"2016-04","Daddy Yankee",20
"2016-04","Dannic",20
"2017-05","Post Malone",20
"2017-08","Future",20
"2017-09","Eminem",20
"2017-10","Calvin Harris",20
"2017-11","The Weeknd",20
"2018-04","XXXTENTACION",20
"2018-07","Post Malone",20
"2018-11","Drake",20
"2018-11","The Beatles",20
"2019-01","Meek Mill",20
"2019-03","Meek Mill",20
"2019-07","Kanye West",20
"2019-07","Marshmello",20
"2019-08","Lil Wayne",20
"2019-10","Maroon 5",20
"2019-11","NLE Choppa",20
"2019-12","Coldplay",20
"2019-12","PARTYNEXTDOOR",20
"2020-01","Maroon 5",20
"2020-02","Don Toliver",20
"2020-02","Frank Ocean",20
"2020-02","Khalid",20
"2020-04","Logic",20
"2020-04","The Beatles",20
"2020-09","Justin Timberlake",20
"2021-01","Led Zeppelin",20
"2021-03","Drake",20
"2021-05","GoldLink",20
"2021-08","Playboi Carti",20
"2021-09","Playboi Carti",20
"2022-01","Kendrick Lamar",20
"2022-02","Roddy Ricch",20
"2022-04","Swedish House Mafia",20
"2022-05","Lorde",20
"2022-06","Coldplay",20
"2022-07","Queen",20
"2022-09","Joey Bada$$",20
"2022-11","Queen",20
"2022-12","Baby Keem",20
"2016-04","Kiiara",19
"2017-06","Calvin Harris",19
"2017-06","Drake",19
"2017-07","French Montana",19
"2017-09","Camila Cabello",19
"2017-09","J. Cole",19
"2017-10","Lil Uzi Vert",19
"2017-12","The Weeknd",19
"2018-01","The Weeknd",19
"2018-02","Logic",19
"2018-09","Led Zeppelin",19
"2018-12","Kendrick Lamar",19
"2019-02","Lil Wayne",19
"2019-04","Eminem",19
"2019-04","Kanye West",19
"2019-07","Sonu Nigam",19
"2019-08","Dreamville",19
"2019-08","Queen",19
"2019-09","Post Malone",19
"2019-10","Lil Nas X",19
"2019-11","Chris Brown",19
"2019-12","Khalid",19
"2019-12","Mura Masa",19
"2020-01","Eminem",19
"2020-02","Kendrick Lamar",19
"2020-02","Tyler, The Creator",19
"2020-03","J. Cole",19
"2020-09","Kendrick Lamar",19
"2020-10","Kanye West",19
"2021-01","Red Hot Chili Peppers",19
"2021-02","Cage The Elephant",19
"2021-02","Calvin Harris",19
"2021-03","Cage The Elephant",19
"2021-03","OneRepublic",19
"2021-03","Queen",19
"2021-04","Playboi Carti",19
"2021-07","Drake",19
"2021-07","Playboi Carti",19
"2021-08","Frank Ocean",19
"2021-09","Kid Cudi",19
"2021-09","Miguel",19
"2021-11","The Weeknd",19
"2021-12","Briston Maroney",19
"2021-12","Casiio",19
"2022-01","Gunna",19
"2022-06","XXXTENTACION",19
"2022-10","Marvin Gaye",19
"2022-10","Taylor Swift",19
"2022-10","Travis Scott",19
"2022-11","Travis Scott",19
"2022-12","Logic",19
"2016-04","No Wyld",18
"2017-05","DJ Khaled",18
"2017-05","KYLE",18
"2017-08","Calvin Harris",18
"2017-09","21 Savage",18
"2017-09","Childish Gambino",18
"2017-09","Travis Scott",18
"2017-10","blackbear",18
"2018-08","Maroon 5",18
"2019-03","A Boogie Wit da Hoodie",18
"2019-05","YG",18
"2019-06","Drake",18
"2019-06","Kendrick Lamar",18
"2019-08","Lil Nas X",18
"2019-08","Maroon 5",18
"2019-08","Roy Woods",18
"2019-09","Maroon 5",18
"2019-11","Internet Money",18
"2019-11","Mura Masa",18
"2019-11","NAV",18
"2019-11","Zacari",18
"2019-12","Alina Baraz",18
"2019-12","Ellie Goulding",18
"2019-12","Foster The People",18
"2019-12","OneRepublic",18
"2020-02","Bryce Hase",18
"2020-02","Coldplay",18
"2020-04","blackbear",18
"2020-06","Logic",18
"2020-08","Maroon 5",18
"2020-08","R.E.M.",18
"2020-09","Bruno Mars",18
"2020-09","Santana",18
"2020-10","Kendrick Lamar",18
"2020-12","Red Hot Chili Peppers",18
"2021-01","Eagles",18
"2021-02","A$AP Rocky",18
"2021-03","The Rolling Stones",18
"2021-05","J. Cole",18
"2021-05","Masego",18
"2021-06","GoldLink",18
"2021-06","Young Thug",18
"2021-06","iann dior",18
"2021-07","Mac Miller",18
"2021-09","Green Day",18
"2021-09","Khalid",18
"2021-09","Rihanna",18
"2021-11","Kid Cudi",18
"2021-12","Boston",18
"2021-12","TOTO",18
"2022-01","The Beatles",18
"2022-02","Ludacris",18
"2022-03","Juice WRLD",18
"2022-04","Maroon 5",18
"2022-04","Tyler, The Creator",18
"2022-05","Don Toliver",18
"2022-05","Maroon 5",18
"2022-05","Post Malone",18
"2022-06","SZA",18
"2022-07","Jack Harlow",18
"2022-08","Coldplay",18
"2022-09","Queen",18
"2022-10","Brent Faiyaz",18
"2022-10","Cage The Elephant",18
"2022-11","The Weeknd",18
"2016-04","Gabriel Antonio",17
"2017-05","Ed Sheeran",17
"2017-07","Lil Uzi Vert",17
"2017-09","NAV",17
"2017-11","Post Malone",17
"2018-05","SOB X RBE",17
"2018-10","Sheck Wes",17
"2019-03","21 Savage",17
"2019-03","Kanye West",17
"2019-04","Yung Gravy",17
"2019-06","Travis Scott",17
"2019-09","OneRepublic",17
"2019-10","Led Zeppelin",17
"2019-11","Bas",17
