"Season","Album","Plays"
"Fall","Calvin Harris ~ Funk Wav Bounces Vol.1",34
"Fall","Chris Brown ~ Questions",34
"Fall","Clean Bandit ~ Rather Be (feat. Jess Glynne)",34
"Fall","Pacific Air ~ Stop Talking",34
"Spring","Don Toliver ~ Donny Womack",34
"Spring","DJ Khaled ~ KHALED KHALED",34
"Spring","Hailee Steinfeld ~ Let Me Go (with Alesso, Florida Georgia Line & watt)",34
"Spring","Metro Boomin ~ NOT ALL HEROES WEAR CAPES",34
"Spring","Cage The Elephant ~ Social Cues",34
"Spring","Polo G ~ THE GOAT",34
"Spring","Eminem ~ The Marshall Mathers LP",34
"Spring","Coldplay ~ Viva La Vida or Death and All His Friends",34
"Spring","Kanye West ~ ye",34
"Summer","Drake ~ 0 To 100 / The Catch Up",34
"Summer","Future ~ Mask Off (feat. Kendrick Lamar)",34
"Winter","Briston Maroney ~ Freakin' Out On The Interstate",34
"Winter","The Rolling Stones ~ Let It Bleed",34
"Winter","Fitz and The Tantrums ~ More Than Just a Dream",34
"Winter","Dreamville ~ Revenge Of The Dreamers III",34
"Winter","Fleetwood Mac ~ Rumours",34
"Winter","Mac Miller ~ Swimming",34
"Fall","SZA ~ Ctrl",33
"Fall","Sheck Wes ~ MUDBOY",33
"Fall","Kid Cudi ~ Passion, Pain & Demon Slayin'",33
"Fall","Panic! At The Disco ~ Pray for the Wicked",33
"Fall","Childish Gambino ~ Summer Pack",33
"Spring","Mike Posner ~ 31 Minutes to Takeoff",33
"Spring","XXXTENTACION ~ ?",33
"Spring","Tom Petty ~ Full Moon Fever",33
"Spring","KIDS SEE GHOSTS ~ KIDS SEE GHOSTS",33
"Spring","Don Omar ~ Meet The Orphans",33
"Spring","NAV ~ RECKLESS",33
"Summer","Kid Cudi ~ Passion, Pain & Demon Slayin'",33
"Summer","Trey Songz ~ Tremaine the Album",33
"Summer","Frank Ocean ~ channel ORANGE",33
"Winter","Logic ~ Bobby Tarantino",33
