"Season","Album","Plays"
"Winter","Bakermat ~ Games (feat. Marie Plassard)",24
"Winter","Axwell /\ Ingrosso ~ More Than You Know",24
"Winter","AJR ~ Neotheater",24
"Winter","Petit Biscuit ~ Parachute",24
"Winter","Alvaro ~ Watching You",24
"Winter","Jeremy Zucker ~ comethru",24
"Fall","Bryson Tiller ~ A Different Christmas",23
"Fall","Novo Amor ~ Birthplace",23
"Fall","Foudeqush ~ Black Panther: Wakanda Forever - Music From and Inspired By",23
"Fall","Frank Ocean ~ Blonde",23
"Fall","Jeff Bernat ~ Changes",23
"Fall","James TW ~ First Impressions",23
"Fall","John Adams ~ For Me, For Her, For You",23
"Fall","Hans Zimmer ~ Interstellar (Original Motion Picture Soundtrack)",23
"Fall","Pritam ~ Kesariya",23
"Fall","Bryce Vine ~ La La Land EP",23
"Fall","Mac Miller ~ Swimming",23
"Fall","Noah Cyrus ~ THE END OF EVERYTHING",23
"Fall","Jome ~ Tunnels",23
"Spring","Breakbot ~ By Your Side",23
"Spring","Party Favor ~ Caskets (feat. FKi 1st)",23
"Spring","Jack Jezzro ~ Disney's Fairy Tale Weddings",23
"Spring","Jaden ~ ERYS",23
"Spring","Thomas Newman ~ Finding Nemo",23
"Spring","Far East Movement ~ Free Wired",23
"Spring","Calvin Harris ~ Funk Wav Bounces Vol.1",23
"Spring","Elton John ~ Helt Ny Varld (En) (A Whole New World) - Disney Favourites",23
