"Album","Plays","Songs","Artist","First Listen","Plays Per Song"
"JACKBOYS",34,4,"JACKBOYS","2020-01-30",8.5
"Rare",34,1,"Selena Gomez","2020-12-11",34
"SOS",34,20,"SZA","2022-12-12",1.7
"Sneakin'",34,1,"Drake","2017-08-25",34
"Torches",34,1,"Foster The People","2019-05-14",34
"2 Gone",33,1,"CVBZ","2021-02-11",33
"I'm the One",33,1,"DJ Khaled","2017-05-01",33
"Led Zeppelin III",33,1,"Led Zeppelin","2018-06-24",33
"Mood (feat. iann dior)",33,1,"24kGoldn","2020-09-19",33
"Plans",33,1,"Death Cab for Cutie","2017-07-13",33
"Southern Nights",33,1,"Glen Campbell","2021-01-02",33
"Stuck On You",33,1,"Giveon","2020-11-22",33
"This Is What You Came For",33,1,"Calvin Harris","2016-05-01",33
"Top Five",33,1,"JAY-Z","2017-09-05",33
"Drama (feat. Big Data)",32,1,"NoMBe","2019-08-05",32
"Illuminate",32,2,"Shawn Mendes","2017-08-12",16
"Music To Be Murdered By",32,19,"Eminem","2020-01-17",1.68421052631579
"Night Visions",32,2,"Imagine Dragons","2021-02-19",16
"RAPSTAR",32,1,"Polo G","2021-06-01",32
"SAVAGE MODE II",32,3,"21 Savage","2021-03-22",10.6666666666667
"Spreading Rumours",32,2,"GROUPLOVE","2021-02-11",16
