"Song","Artist","Plays","First Listen","ID"
"Cold","Rich Brian",206,2018-02-02,"0nKpHGrnuejevp6openGaF"
"Boof Pack","Lil Mosey",204,2018-11-16,"7wExAu2KtrNx2KKwsv5EUx"
"GHOST","Jack Harlow",204,2019-09-22,"70whMGrt6rwbkPlXGNtTBw"
"That's On Me","Mac Miller",204,2020-01-17,"0udOCZp7yk0Ml92C0k8H8D"
"Talk Too Much","COIN",203,2020-08-03,"4djIFfof5TpbSGRZUpsTXq"
"Shot Down","Khalid",202,2017-12-09,"1Ob94QesoxHSBrypyBbdfd"
"Silence","Marshmello",202,2017-09-23,"7vGuf3Y35N4wmASOKLUVVU"
"Sparks","Coldplay",202,2019-11-14,"7D0RhFcb3CrfPuTJ0obrod"
"9TH GRADE","Jack Harlow",201,2019-09-08,"4gfv0mYZvVXDJNRt8UjA1q"
"No Problem (feat. Lil Wayne & 2 Chainz)","Chance the Rapper",201,2018-04-20,"0v9Wz8o0BT8DU38R4ddjeH"
"Oh My Love","The Score",201,2021-03-04,"4Q99wmrzQFtK3oweyLkWij"
"Good Grief - Don Diablo Remix","Bastille",200,2020-07-25,"5dSFlPDHjAuYU1apyrRgqV"
"Summer","Calvin Harris",199,2019-06-21,"6YUTL4dYpB9xZO5qExPf05"
"Sign of the Times","Harry Styles",198,2020-05-11,"5Ohxk2dO5COHF1krpoPigN"
"Therapy","Khalid",198,2017-12-11,"25YvGDl2zSE0pH8jrMZ6aY"
"Thnks fr th Mmrs","Fall Out Boy",198,2019-02-03,"3Zwu2K0Qa5sT6teCCHPShP"
